Level,Date and Time,Source,Event ID,Task Category
Information,6/21/2020 1:45:12 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,6/21/2020 1:44:20 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.449_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,6/21/2020 1:44:12 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,6/21/2020 12:56:55 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/21/2020 12:54:50 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,6/20/2020 10:46:50 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/20/2020 10:44:37 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,6/20/2020 10:43:46 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.449_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,6/20/2020 10:43:37 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,6/20/2020 9:00:20 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/20/2020 8:58:14 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,6/20/2020 8:17:53 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,6/20/2020 8:13:27 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Windows\System32\config\components was cleared updating 67438 keys and creating 8180 modified pages.
Information,6/20/2020 7:02:21 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/20/2020 6:58:04 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,6/20/2020 6:57:14 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.449_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,6/20/2020 6:57:01 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/20/2020 5:02:15 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.intel.com timed out after none of the configured DNS servers responded.
Information,6/20/2020 2:20:26 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.317.1777.0)
Information,6/20/2020 2:20:09 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.317.1777.0)
Information,6/20/2020 2:20:09 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Warning,6/20/2020 2:14:13 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 3 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 86397 seconds since the last report.
Warning,6/20/2020 2:14:13 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 2 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 86397 seconds since the last report.
Warning,6/20/2020 2:14:13 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 1 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 86398 seconds since the last report.
Warning,6/20/2020 2:14:13 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 0 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 86398 seconds since the last report.
Warning,6/20/2020 12:30:19 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.449_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,6/20/2020 12:29:18 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.intel.com timed out after none of the configured DNS servers responded.
Warning,6/20/2020 12:27:49 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.intel.com timed out after none of the configured DNS servers responded.
Warning,6/20/2020 12:20:27 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.intel.com timed out after none of the configured DNS servers responded.
Information,6/20/2020 12:10:03 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎06‎-‎20T09:10:03.316927800Z from ‎2020‎-‎06‎-‎20T09:10:03.314851600Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume5\Windows\System32\svchost.exe' (PID 11908)."
Information,6/20/2020 12:10:03 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎06‎-‎20T09:10:03.314851600Z from ‎2020‎-‎06‎-‎20T09:10:03.314287000Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume5\Windows\System32\svchost.exe' (PID 11908)."
Information,6/20/2020 12:10:03 PM,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.231.114.183:123) with reference id 3077760820. Current local stratum number is 4."
Information,6/20/2020 12:10:03 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎06‎-‎20T09:10:03.310751300Z from ‎2020‎-‎06‎-‎20T09:10:05.301113500Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume5\Windows\System32\svchost.exe' (PID 11908)."
Information,6/20/2020 12:09:51 PM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.231.114.183:123)."
Information,6/20/2020 12:09:49 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,6/20/2020 12:00:00 PM,EventLog,6013,None,The system uptime is 769830 seconds.
Information,6/20/2020 6:47:29 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/20/2020 6:45:24 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,6/20/2020 4:35:35 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.317.1747.0)
Information,6/20/2020 4:35:17 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.317.1747.0)
Information,6/20/2020 4:35:17 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,6/20/2020 4:10:23 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\PC\AppData\Local\Packages\microsoft.windows.cloudexperiencehost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,6/20/2020 3:20:32 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\config\DRIVERS was cleared updating 24341 keys and creating 1116 modified pages.
Warning,6/20/2020 2:46:41 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/20/2020 2:46:41 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/20/2020 2:44:33 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,6/20/2020 2:26:13 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/20/2020 2:24:07 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,6/20/2020 1:18:51 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/20/2020 1:16:46 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,6/20/2020 12:57:02 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/20/2020 12:54:32 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,6/20/2020 12:53:31 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/20/2020 12:26:56 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,6/19/2020 11:39:39 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
Information,6/19/2020 11:39:34 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
Information,6/19/2020 11:39:28 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.ZuneVideo_10.20032.16211.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,6/19/2020 11:39:06 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,6/19/2020 9:52:40 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,6/19/2020 9:49:28 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,6/19/2020 9:49:27 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,6/19/2020 9:41:44 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\PC\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 30 keys and creating 3 modified pages.
Information,6/19/2020 8:46:54 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/19/2020 8:44:37 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,6/19/2020 8:43:36 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,6/19/2020 7:00:15 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\PC\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Settings\settings.dat was cleared updating 434 keys and creating 38 modified pages.
Information,6/19/2020 6:16:46 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/19/2020 6:14:21 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,6/19/2020 6:13:31 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.449_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 6:13:21 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,6/19/2020 2:20:26 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.317.1710.0)
Information,6/19/2020 2:20:10 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.317.1710.0)
Information,6/19/2020 2:20:10 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Warning,6/19/2020 2:14:15 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 3 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 86400 seconds since the last report.
Warning,6/19/2020 2:14:15 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 2 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 86400 seconds since the last report.
Warning,6/19/2020 2:14:15 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 1 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 86400 seconds since the last report.
Warning,6/19/2020 2:14:15 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 0 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 86399 seconds since the last report.
Information,6/19/2020 12:00:00 PM,EventLog,6013,None,The system uptime is 683430 seconds.
Information,6/19/2020 10:11:03 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎06‎-‎19T07:11:03.809993000Z from ‎2020‎-‎06‎-‎19T07:11:03.808858500Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume5\Windows\System32\svchost.exe' (PID 9180)."
Information,6/19/2020 10:11:03 AM,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.231.114.183:123) with reference id 3077760820. Current local stratum number is 4."
Information,6/19/2020 10:10:49 AM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.231.114.183:123)."
Information,6/19/2020 10:10:47 AM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,6/19/2020 6:13:27 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,6/19/2020 6:11:22 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,6/19/2020 6:10:41 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  MpKslDrv
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{46DD4215-AF39-488E-9DDC-CEEA0BD1756B}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  system start
Service Account:  "
Information,6/19/2020 4:52:19 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.317.1666.0)
Information,6/19/2020 4:52:01 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.317.1666.0)
Information,6/19/2020 4:52:01 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Warning,6/19/2020 3:15:50 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 3:15:49 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 3:09:53 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 3:09:53 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 3:08:56 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 3:08:55 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 3:04:27 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 3:04:27 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 3:02:10 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 3:02:10 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,6/19/2020 3:00:21 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
